rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
764	0507623336ffed1ec27a20967e0eb5ac67e4dbf0d00f7581e65e72c95643b15e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7560	binîşaneyî	binîşaneyî	noun_fem	F	po:noun_fem					pending
765	0508dec600d7f5a1b70fa6138a56ea98f6069a02bc029614af20deee27ff265e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31969	qusandîbûn	qusandîbûn	noun_fem	F	po:noun_fem					pending
766	0508fc0809dfc57832f15aaff63a7eeb6aa0a680dab122830bf70306e9c2af20	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15129	do	do	adverb	R	po:adv					pending
767	050e059f414bb78248ea159381a4cfdad344a171f4c7669e8ce60ae067fa24ed	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26197	mirt	mirt	noun_fem	F	po:noun_fem					pending
768	050e364127c8c21eb69ae0cd67d12956c72e37bd20eeca90024e90b7053c3258	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7586	bipakîtî	bipakîtî	noun_fem	F	po:noun_fem					pending
769	050e66fd32aeca6fe5418fee79d7c0df39aabe84e8ffc6445a3e43c7df9952b8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10584	bêgerewî	bêgerewî	noun_fem	F	po:noun_fem					pending
770	0510c49b3afc382cb04bd1955b04aabe2fd838a9b2b27c1a4a37cd60ea4e98d9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13273	ciwêndan	ciwêndan	noun_fem	F	po:noun_fem					pending
771	0511197c7c867e1404fc4618758c7736f2f0ae61f45cb5004aced80b06d94f71	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19190	hawîşbûn	hawîşbûn	noun_fem	F	po:noun_fem					pending
772	0512e4d7bdb82b46de1b8b05a5ab8e8b3d38aa72ae3241608dd61eb9cf28de3e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41768	çifte	çifte	noun_fem	F	po:noun_fem					pending
773	05131f1a05673d8122d991804f6dc58675e1bfc148e35de7b45baaa00598f69c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	36424	tembel	tembel	adjective	AN	po:adj					pending
774	05157ef5700209181195f789489d0b204e8ae70008ddbef187a350bbc5fcce18	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6088	bifêde	bifêde	adjective	AN	po:adj					pending
775	0515a9fbf5132991d8b646ab451fb4cb19a5cdfc86d2aaec43bf030cb32c935d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4334	berendamî	berendamî	noun_fem	F	po:noun_fem					pending
776	05177ffe9b7361417b515ae248f26a6fbf7949fadf86ace2898273d67a4fdddd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19294	hedarkirî	hedarkirî	adjective	AN	po:adj					pending
777	0517a51c178b5215cd701882611001bd5a4d33b1e4d2df1a73b6894c1a92b36a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21694	jêkbûyî	jêkbûyî	adjective	AN	po:adj					pending
778	05190d128d42d05789ed86a92a92a9584a1856172a7777f619f2b12d13014951	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11940	bêraydabûn	bêraydabûn	noun_fem	F	po:noun_fem					pending
779	051aa731b358cad6d9ce7a9e417737c2e47f5c8da617a257333cd83e45a84db8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3538	bedkirin	bedkirin	noun_fem	F	po:noun_fem					pending
780	051cb8802d9bdab45886a559ffe8241088efa93894fc0d5173ae8b3dbc937cfb	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1040	amêjenî	amêjenî	noun_fem	F	po:noun_fem					pending
781	051d2df10201656b80da3368912e495a06c9f6963dfaa2aff6c99decaaba4dcc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25780	mezbehexane	mezbehexane	noun_fem	F	po:noun_fem					pending
782	051d96acf77641de56b1ab952decb152a6e49b00cc3d29c15d2ede5bbde1a22a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30431	pêmovkî	pêmovkî	noun_fem	F	po:noun_fem					pending
783	0520ff6a127e4a8df1c662446244292750dc5a502473cd16518e5f16f40de933	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32507	rehtbûn	rehtbûn	noun_fem	F	po:noun_fem					pending
784	0523716d0a710511a35efa82d33fbf629939912abed465bdd4be2795845c6ee0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19435	helamet	helamet	noun_fem	F	po:noun_fem					pending
785	052514fa50228f68e73d6ee80c6849ace6d4979d0064b540f847ce2dfdaf6dc6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30833	pûçbêjîkirî	pûçbêjîkirî	adjective	AN	po:adj					pending
786	0525cafca4e9dca449a81819949e19c55660635119273c3c3981c15716db319e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41215	çakbar	çakbar	adjective	AN	po:adj					pending
787	0525cd3c10c05f4863cef3009135e216e796836eb34039e47c02c0c310fe2c2c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20676	hizîzk	hizîzk	noun_fem	F	po:noun_fem					pending
788	052605cf2f2a4340092b3f9e7096295416039134869731fd45ab016bb9f34007	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40985	zoranbazîkirî	zoranbazîkirî	adjective	AN	po:adj					pending
789	05277d15ee3e2f539fbacc860447cb8965ae2a4638e45848d862302a2c2aab1c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33376	rêvinkirî	rêvinkirî	adjective	AN	po:adj					pending
790	0529e19bcea2a6069c610ce2c6e7c70227ee61018edada1edd1822f761534230	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33230	Roubaix	roubaix	propn	ZF	po:propn					pending
791	052b1f90f5e2b816962c148ac5cc22279196d8c4765238034106cde3d78acd21	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42718	îxlas	îxlas	noun_fem	F	po:noun_fem					pending
792	052ce443ad2f9abef8999de383742a8bd7a2897aac11c2dd3b1e0a5a3b8b9bcc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11486	bêmitik	bêmitik	noun_fem	F	po:noun_fem					pending
793	052fe2ac4920a020ec8976e615828fb3b42d01b02dfacaf353571a73220584db	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13216	cirnexweşîbûn	cirnexweşîbûn	noun_fem	F	po:noun_fem					pending
794	0531a2443c680240a8d1b894767604bd91864a6274bc80c317c3ef1790afb7bf	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23488	kronîkbûyî	kronîkbûyî	adjective	AN	po:adj					pending
795	05329689695ff52d2440eebc38498767200b64e28e183d66dfe0cd9425494abe	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17484	frîkîk	frîkîk	noun_fem	F	po:noun_fem					pending
796	05330451ba442243ff6efb7a19949ebaa05c538da03f4e51b79fe02962c3cac0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11284	bêlewn	bêlewn	adjective	AN	po:adj					pending
797	0533eb46e05e0c8c8dcf08d3d82a77f5b450af09df8874eb09fb66ec3c80e069	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40471	zekem	zekem	noun_fem	F	po:noun_fem					pending
798	053414839037d73a602b7794e1c57037960ce05d9efa75256dd73d13140e4309	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33970	sehilandin	sehilandin	verb	XF	po:verb					pending
799	0534df125bf7b312955b1de691cac7c7b749c0e12ceb7da2ef8a5c3a2be9eb3b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22278	keleh	keleh	noun_fem	F	po:noun_fem					pending
800	05370472728d46fbe25acdd472ee904fe1aa9eb58d9e2a1d6acbe62462254202	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14516	devjêberdan	devjêberdan	noun_fem	F	po:noun_fem					pending
801	05381b704d115f16801d033c2b255bf677aa2beb3dbd5888d071eecf921a7b3c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24540	lolawo	lolawo	adverb	R	po:adv					pending
802	053c129aad194377f98b74ab8f7b5aa6f7865064d3ddc2db537484ac16b27425	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8005	birg	birg	noun_fem	F	po:noun_fem					pending
803	053ced114120717f20bcddd7cf74363bd1920cb67c419e2df1acca4fa127259b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9246	biîdentîteyî	biîdentîteyî	noun_fem	F	po:noun_fem					pending
804	053d97335951b44c5257757c4d76fae726f48e72b874df7abf6bc85b11f6791a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12184	bêtevgerrî	bêtevgerrî	noun_fem	F	po:noun_fem					pending
805	053efba48b5301907f146b42e606edfe9214e6d8769f44b0fda9dc1a965fa9c2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40071	xêvzanbûn	xêvzanbûn	noun_fem	F	po:noun_fem					pending
806	053fe7483be281a5daabd15b957a29e48949b72dff19efd799ca7f2a878f1947	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32736	rewek	rewek	noun_fem	F	po:noun_fem					pending
807	05438a08829c3c7a473442a09949294e4e758a9a1ebf1c3e7061b5252d3770c3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6117	biger	biger	adverb	R	po:adv					pending
808	05443e6b45b0ecdb279edcb23757be261b2d372731170fb29041e3581da5f3e1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33120	rojbûn	rojbûn	noun_fem	F	po:noun_fem					pending
809	054496b9ca6254f08a5abf22cbee329bbef0a1659b964f28997d249f6e2305df	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26553	mubahane	mubahane	adjective	AN	po:adj					pending
810	0546ee3a73505ea0d01aa3e377b66f041a9a89d35fe382e62053ab058b9e587c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38928	xayizane	xayizane	adjective	AN	po:adj					pending
811	0548bb45baad20fa0a2d092cd2729ca97ccde3af820a16047f8baffcb4d91ed3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12469	bêîtaet	bêîtaet	adjective	AN	po:adj					pending
812	054c4f6541ad6cf813339789d8dee4a637b16b8fea2fcf0701cf160de552208b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7516	binyad	binyad	noun_fem	F	po:noun_fem					pending
813	054ea68bd09b491b7299bceebfe06d93cd9c5ab304dc99b8d3306428c84e124e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39939	xweşgotin	xweşgotin	noun_fem	F	po:noun_fem					pending
814	054f2fcd4dc5f207ac1e8cb14cedadeb0fe85ece8a207273645740c8e35e7fc8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	36310	teklîfdan	teklîfdan	noun_fem	F	po:noun_fem					pending
815	054f73aa147328870d9f9a8d9cacf270402eba3a2aa216a31846c5c443719cb2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41728	çewder	çewder	noun_masc	M	po:noun_masc					pending
816	054f7c350f4441b2582e11b28c1120f389059c48934b7bd92b5b663c376aacd3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	18411	givêrîn	givêrîn	noun_fem	F	po:noun_fem					pending
817	055058be3fe600a77b5e1de210c5d8bcbe05b05a5ddbcd802055273535c076bb	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41748	çewtbûn	çewtbûn	noun_fem	F	po:noun_fem					pending
818	0554547079d457511eda7bc036cd460542e093765474153a1940f275f5ad0168	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6983	bilqebilq	bilqebilq	noun_fem	F	po:noun_fem					pending
819	05577ef85c362ea6788b2e5ba7621d0ec532151690139f90cd33f137c4ff7f0e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	29036	pejin	pejin	noun_fem	F	po:noun_fem					pending
820	0557b75f0f352f9b42fa7008bc09c522ed30e9bc85ba9e2fe15263e57caac5ab	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37002	texm	texm	noun_fem	F	po:noun_fem					pending
821	055d717f327525bda0db2ca7465e8a3a8ac0ff78741543155fe5e367f70ca257	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10088	bêbêrîkî	bêbêrîkî	noun_fem	F	po:noun_fem					pending
822	055d895a65797627a93ec6fc8585176ca3b0fdc9cae6f2ac7a48d1b3609ab709	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11280	bêlemlate	bêlemlate	adjective	AN	po:adj					pending
823	055f108a69967daa61dd733ca49dfb8d84442a38fde185a3c206ea1d6e235151	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24631	lêgerî	lêgerî	noun_fem	F	po:noun_fem					pending
824	056382c37141a2d1d488bedae0912447a0a774e2e656ede58bd53e149dc726ef	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	36877	tevdekirin	tevdekirin	noun_fem	F	po:noun_fem					pending
825	0565331b9615dd5dc30d39acc55e24690946166eb6e2b18bb3ea9dce212ca135	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39970	xwêr	xwêr	adjective	AN	po:adj					pending
826	056580b6756f89f81a888c11cde173bb7c7ca3a68ad40bfc0c52dfadedddc054	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	709	alavkirin	alavkirin	noun_fem	F	po:noun_fem					pending
827	056596e8d9d824cacb9a559107c3b810e64488ed16d03200254f547f9ed9f2ea	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15274	doxîn	doxîn	noun_fem	F	po:noun_fem					pending
828	0566599cf588f27227b63f6d6cac83483ea2cd20243040bdfe8fcd5680fedd83	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42160	çîkmend	çîkmend	noun_fem	F	po:noun_fem					pending
829	056863a058dda0d5cca94ac841527afd78354e07d3d34de3d941b9a32408349d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14284	dermanlêhatin	dermanlêhatin	noun_fem	F	po:noun_fem					pending
830	056eb48e217df5d0ddf962338b272f7cc8cc97c82dd95909e920ab0df9f7f482	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34793	seyîn	seyîn	verb	V	po:verb;is:present_stem_transitive_active;st:sey;lem:seyandin					pending
831	057078e3cef1af5fa790d752ed0dc7564c441fa678e40ea08b03fa8196ad04a6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7068	bimasûr	bimasûr	adjective	AN	po:adj					pending
832	057606a43af54cd088ba054d91ee704e8122546a6b4018d557dbecbba86f0d75	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22003	karesatane	karesatane	adjective	AN	po:adj					pending
833	057607b00b57ad345b760b93f03ed5022a902da229b8130989302177e409bea5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31245	qelpax	qelpax	noun_fem	F	po:noun_fem					pending
834	05768ca390f88919c405aeded6cd066d90d6e8b73244d7a27d2cb34ee46dea60	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33671	sahirane	sahirane	adjective	AN	po:adj					pending
835	05770fb07a445af217690136e3ae208099e276573997a9193350c1b2a7365097	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41281	çapemanî	çapemanî	noun_fem	F	po:noun_fem					pending
836	05774f33052b4606e58ea270101e4595d26620bcd68a7dfd384171962633f3c0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8644	bitêgihiştinê	bitêgihiştinê	noun_fem	F	po:noun_fem					pending
837	05791f23da841d9000abad3942984ed2048b8e40df82ff2bce74049d86169e2c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2020	avşolkî	avşolkî	noun_fem	F	po:noun_fem					pending
838	057a14d0954d9e03590672dbd3fa54d815f3c2018a4cc2f509e1728ab2d3fd0a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23803	Kuçer	kuçer	noun_fem	F	po:noun_fem					pending
839	057a28379fdf4bcb5976e37b5b723dcad946f9022f24b38a9f585be1269b4123	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	11763	bêpaye	bêpaye	adjective	AN	po:adj					pending
840	057b9f335779e0f88479960f84b32a0b6a21779366553b096624493a502b4575	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20909	hêcet	hêcet	noun_fem	F	po:noun_fem					pending
841	057c704664cd30d22a180a7f2da0ce04145cee9af132fe8eff4d449f399f6448	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21588	jinaxayane	jinaxayane	adjective	AN	po:adj					pending
842	057eeb539755729605e7f573bd0565d40fefb4610d33ddcd77241630b08c3789	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4220	berbijarî	berbijarî	noun_fem	F	po:noun_fem					pending
843	057f2049cb779f6146afcec6c3ca61fdb058f2d43c230da53727ba02ee878fb2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12594	bînber	bînber	noun_masc	M	po:noun_masc					pending
844	058393a2f3f1bda8318b75d3e264e4252ba5a4baba5c156dfeb62525b31af105	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40459	zehmetkirî	zehmetkirî	adjective	AN	po:adj					pending
845	0585d46c5d02110e824c30272059e2b1277ee69785b0126018207026f22e2c7f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10579	bêgepik	bêgepik	noun_fem	F	po:noun_fem					pending
846	0589b00d5b01117db3f8654a546859b598f9e267bbb97c6023dd3d3260bf872f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15160	dolivgerî	dolivgerî	adjective	AN	po:adj					pending
847	058a1283a490e954286a2bf3484879a5402166582301d998cad775e1febf3611	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33950	sefîl	sefîl	adjective	AN	po:adj					pending
848	059072d2fd3c5bffc75b62e44a9305617590586acbe68f646c92f8ca10024ce8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	10776	bêhempakirî	bêhempakirî	adjective	AN	po:adj					pending
849	05921335ef5039cca24ab8a84596879928317e6f280ab44ef1f61b31d526ac91	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	307	afirandînas	afirandînas	noun_fem	F	po:noun_fem					pending
850	0592985260df6d90a0499a276dcb69b3f55e1e55da86571e0c5c6f42b9d0fc87	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42920	şaqûl	şaqûl	noun_fem	F	po:noun_fem					pending
851	0593b0180ef01979ef474e5ec80b43205507a523f2d7517f37cb2916a2bda9fc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42775	Ûkrayna	ûkrayna	propn	ZF	po:propn					pending
852	059458be760b2a6647d216767388431f6bfd8353ed078ebe936591f7e649f377	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20892	huvdeh	huvdeh	num	E	po:num;st:huvdeh					pending
853	05960e475b2822c6ad7a58098c8ab0551bc295ee4fe4d16387076863f615f133	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28923	payeberzkirî	payeberzkirî	adjective	AN	po:adj					pending
854	0597e861303ce14dfcf7fcd9b1266da5a3c02a62cdcfaef330d5cd9f3290d914	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1065	anagram	anagram	noun_fem	F	po:noun_fem					pending
855	0598958dcebef80e76c2ce5e50a3f8730d6de286b9bd3636574b791fc66471ae	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1936	avkî	avkî	noun_fem	F	po:noun_fem					pending
856	05997e9a8d088b37ba8435f7fc1a0b1fb3cc423f455f9a38db6ca15e5ae34e08	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35259	sorîn	sorîn	verb	XF	po:verb					pending
857	059af6c2d2f84bc7b0b43e62a98bbe5d16963d283d90a86bb37f71c21f9be0ac	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26028	milhid	milhid	adjective	AN	po:adj					pending
858	059c5119400c3c7596fe46491c5d6ff8bf1daded0847edb2816dc1a58b160458	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12837	casûs	casûs	noun_masc	M	po:noun_masc					pending
859	059e9db2b77c5700e58509fa82d886811d7e0bd3897d606c29b942382c62d795	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15391	durûkirin	durûkirin	noun_fem	F	po:noun_fem					pending
860	059f5bba647a838e86d92ef3676c5a1e0601618593c527d8ed06175cf7100719	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42930	şarezayî	şarezayî	noun_fem	F	po:noun_fem					pending
861	05a0a5da6a01410284223bada6514ddcbc10acb7e06605a05e797e43fa16f234	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7625	bipencere	bipencere	adjective	AN	po:adj					pending
862	05aa13db1733e4be396518f15d8942439f183721345ed374665b8e114df8885b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41450	çavtêrbûyî	çavtêrbûyî	adjective	AN	po:adj					pending
863	05aa9c4d52d0e41fd161b9ea3a390347e5d5692f36923f4dd8f2ccfc11d21f9c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32320	rasyonelkirî	rasyonelkirî	adjective	AN	po:adj					pending
864	05ab187ea6e39e6344a6a85ea902772a07eb01e3854904ef5659be0a782a8193	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8143	birêkirin	birêkirin	noun_fem	F	po:noun_fem					pending
865	05ab316baa7e5b1610894f2d77e79e73e5572e4bacca1469025c37a5292e6c72	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15069	dirûşm	dirûşm	noun_fem	F	po:noun_fem					pending
866	05aca3c8f0925c8dae22bff098949354ccdd5bb9f6891596bcb6e1f765f9f47a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37757	tîrhavêtin	tîrhavêtin	noun_fem	F	po:noun_fem					pending
867	05ad0d65e761c790bdd1b61b1384cf4fcfb1e2fb84f2089f16316d91202a15b3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2418	Aşgabat	aşgabat	propn	ZF	po:propn					pending
868	05ae7386da317ff1604dbe394f6b6db294c2dacf3b690acca27974bfded012e8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3999	bengbûyî	bengbûyî	adjective	AN	po:adj					pending
869	05af286d031c1f6797444fd33813d709a73ce8e93d485b9d1f59223ff9b1175d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1865	averêkirî	averêkirî	adjective	AN	po:adj					pending
870	05af61422f5a4b5de2be1ebd6bdafd7461887a26978be0ccb2de1d4ac913e3aa	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34085	semaxbûn	semaxbûn	noun_fem	F	po:noun_fem					pending
871	05afa562ea8256f169599c7c8c510a881fb77480afee573b332f9b08b194e059	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	24105	lavahîkirin	lavahîkirin	noun_fem	F	po:noun_fem					pending
872	05b0d2c3a43ef62313f3e8c7f10704695ccb98aaf350bc0040d6cf104585f3ef	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23220	komirr	komirr	noun_fem	F	po:noun_fem					pending
873	05b0f39d0d221ac9cbb69a0fdf5fadd939bf37999c615b3c153d297387ee5573	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35137	siyasetnas	siyasetnas	noun_fem	F	po:noun_fem					pending
874	05b462592df010c0457d24b4e681b030172eeb0acfac45b2373ab645d3983a33	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23182	kolîdarî	kolîdarî	noun_fem	F	po:noun_fem					pending
875	05bc609e5335c541b3d99d5e73ec473613a72e3a0be8bd0618df453d3e78b76a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43202	şequdeq	şequdeq	adjective	AN	po:adj					pending
876	05bd0615eb0c2a2f2258ed9ac89d4d81a32a5ee77a8f9dcbe94cd62ad842a6a5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25996	mijûl	mijûl	adjective	AN	po:adj					pending
877	05bf13d2d9d15e863542b8e077b2ec1d4d31b4941c47c6b5ece7eb2bfc94af89	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26874	mûrbûyî	mûrbûyî	adjective	AN	po:adj					pending
878	05c4d12e72977ea7c63c0726a97481ac9b75bcf613cf09017f8155a2b2244ebc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4060	ber	ber	adp	P	po:adp;st:ber					pending
879	05c58bf53f67746e3fbe25b5fc29dd8590aaf565c57a5f437013a4f5ce5c8f33	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30145	posîde	posîde	adjective	AN	po:adj					pending
880	05c5fa46a79bcb614e7cb25ec063ad0ce24f14d34242cea43b2ee42d167da467	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28602	pabendkirî	pabendkirî	adjective	AN	po:adj					pending
881	05ca6794f55b8988c9d0cf84f9c0b9e47e14f3c06a81f9ffffac554852ebe6d7	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14910	dilxweşkirin	dilxweşkirin	noun_fem	F	po:noun_fem					pending
