rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
439	02c3016d4935d8111ea644b0876b3306a5ed584edd88e7c0e32353d31619b184	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27207	neasayîkirin	neasayîkirin	noun_fem	F	po:noun_fem					pending
440	02c37ae95a4d5bbfd447666da093d20e64407518c166c76cc6ec2d8b931bcad6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23760	kuskusandî	kuskusandî	adjective	AN	po:adj					pending
441	02c5a866546c634f0455119a58eed7ed1ec6805a83be8aad4fe55d0d41a7eb59	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20910	hêcetgirî	hêcetgirî	noun_fem	F	po:noun_fem					pending
442	02c75ab78db993e8abc5295ae0ba3e50bbef3c8e9b87885475f5a7a4fe4179f0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32278	rastandinbar	rastandinbar	adjective	AN	po:adj					pending
443	02c8bc1bc2fffc867364cfbf93b35d005f6f5e234cb12425eb25a8a18066974b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34890	sikur	sikur	noun_fem	F	po:noun_fem					pending
444	02c9bef83c2a736ab392da874a008c752f9e1671b8524d3854ab54cbc08755ab	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38548	werhatin	werhatin	noun_fem	F	po:noun_fem					pending
445	02cac897448a336e0585229e5f7df7648bda39cc0d029201e82a34ae8f1ca0dc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37591	têgihiştî	têgihiştî	adjective	AN	po:adj					pending
446	02cb0ac4f2cada254ea898b54ca59e410ef3009576023766731d519a3eac3e97	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43692	şêlîkirî	şêlîkirî	adjective	AN	po:adj					pending
447	02d5ae769644dbef50c01c724d3e94126bade845b7514866afdb7e2150c9722d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1431	arjantînî	arjantînî	noun_fem	F	po:noun_fem					pending
448	02d6e9eaccde4fab263c23f10120c797350ce42e80b9d9bbada0cbbbb577933b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37771	tîtanyûm	tîtanyûm	noun_fem	F	po:noun_fem					pending
449	02d762bed3b0062e372dad81ade7078fbc40ba2ec4b3f0030033558317e3f6bd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7105	bimeqbûliyetî	bimeqbûliyetî	noun_fem	F	po:noun_fem					pending
450	02daa9d9202f8bceab3a3ddbb780a231b868f7eafd3d810baba0319ebc224037	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12414	bêzîrekî	bêzîrekî	adjective	AN	po:adj					pending
451	02e4c1c68ff2943f14728402aaadaacfe8d3831e489141912d6f51c5539ae70b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8531	biteger	biteger	adjective	AN	po:adj					pending
